N4m3;S3x;4g3;H31ght;W31ght;T34m;Sp0rt;3v3nt;M3d4l
Aleksey Petrovich Bondarenko;M;22;160;127,868112;Russia;Gymnastics;Gymnastics Men's Team All-Around;Bronze
Aleksey Petrovich Bondarenko;M;22;160;127,868112;Russia;Gymnastics;Gymnastics Men's Horse Vault;Silver
Beniamino Bonomi;M;32;182;187,3929227;Italy;Canoeing;Canoeing Men's Kayak Doubles, 1,000 metres;Gold
"Petronella Theodora Maria ""Ellen"" Bontje";F;42;178;158,7328286;Netherlands;Equestrianism;Equestrianism Mixed Dressage, Team;Silver
Kristie Boogert;F;26;178;138,8912251;Netherlands;Tennis;Tennis Women's Doubles;Silver
Minke Gertine Booij;F;23;163;125,6634893;Netherlands;Hockey;Hockey Women's Hockey;Bronze
Ageeth Boomgaardt;F;27;168;138,8912251;Netherlands;Hockey;Hockey Women's Hockey;Bronze
Sven Martin Boquist;M;23;197;220,462262;Sweden;Handball;Handball Men's Handball;Silver
Igor Boraska;M;29;190;207,2345263;Croatia;Rowing;Rowing Men's Coxed Eights;Bronze
Katrin Borchert;F;31;178;154,3235834;Australia;Canoeing;Canoeing Women's Kayak Singles, 500 metres;Bronze
"Patrick Lance ""Pat"" Borders";M;37;185;200,6206584;United States;Baseball;Baseball Men's Baseball;Gold
Gustavo Frana Borges;M;27;203;216,0530168;Brazil;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
Ingo Borkowski;M;28;185;182,9836775;Germany;Sailing;Sailing Mixed Three Person Keelboat;Silver
Kathrin Boron (-Kppen);F;30;184;169,7559417;Germany;Rowing;Rowing Women's Double Sculls;Gold
Slobodan Bokan;M;25;197;191,8021679;Serbia and Montenegro;Volleyball;Volleyball Men's Volleyball;Gold
Dominique Simone Bosshart;F;22;178;180,7790548;Canada;Taekwondo;Taekwondo Women's Heavyweight;Bronze
Carla Maree Boyd (Porter-);F;24;185;176,3698096;Australia;Basketball;Basketball Women's Basketball;Silver
Tina Nielsen Bttzau (-Haunstrup);F;29;174;154,3235834;Denmark;Handball;Handball Women's Handball;Gold
"Jules Timothy ""Tim"" Brabants";M;23;189;194,0067906;Great Britain;Canoeing;Canoeing Men's Kayak Singles, 1,000 metres;Bronze
Marco Bracci;M;34;197;207,2345263;Italy;Volleyball;Volleyball Men's Volleyball;Bronze
Jeanette Brakewell;F;26;169;132,2773572;Great Britain;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Silver
Serge Branco;M;19;176;165,3466965;Cameroon;Football;Football Men's Football;Gold
Nicole Brandebusemeyer;F;25;174;132,2773572;Germany;Football;Football Women's Football;Bronze
Terry Michael Brands;M;32;162;127,868112;United States;Wrestling;Wrestling Men's Featherweight, Freestyle;Bronze
Michael Gene Brennan;M;24;182;174,165187;Australia;Hockey;Hockey Men's Hockey;Bronze
Jacques Brinkman;M;34;182;165,3466965;Netherlands;Hockey;Hockey Men's Hockey;Gold
Michelle Kathleen Brogan-Griffiths;F;27;186;176,3698096;Australia;Basketball;Basketball Women's Basketball;Silver
"Kenneth L. ""Kenny"" Brokenburr";M;31;179;169,7559417;United States;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
"Sandra Anne ""Sandy"" Brondello";F;32;170;136,6866024;Australia;Basketball;Basketball Women's Basketball;Silver
"Christopher Deon ""Chris"" Brown";M;21;178;165,3466965;Bahamas;Athletics;Athletics Men's 4 x 400 metres Relay;Bronze
"Joanne ""Jo"" Brown (-Alchin)";F;28;174;158,7328286;Australia;Softball;Softball Women's Softball;Bronze
Lyubov Aleksandrovna Bruletova;F;26;150;105,8218858;Russia;Judo;Judo Women's Extra-Lightweight;Silver
Jennifer Lyn Brundage;F;27;167;163,1420739;United States;Softball;Softball Women's Softball;Gold
Caroline Brunet;F;31;175;154,3235834;Canada;Canoeing;Canoeing Women's Kayak Singles, 500 metres;Silver
Olga Aleksandrovna Brusnikina;F;21;169;121,2542441;Russia;Synchronized Swimming;Synchronized Swimming Women's Duet;Gold
Olga Aleksandrovna Brusnikina;F;21;169;121,2542441;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Karen Brdsgaard;F;22;178;156,528206;Denmark;Handball;Handball Women's Handball;Gold
Aleksei Budlin;M;24;177;178,5744322;Estonia;Judo;Judo Men's Half-Middleweight;Bronze
"Jaap Derk ""Jaap-Derk"" Buma";M;28;184;189,5975453;Netherlands;Hockey;Hockey Men's Hockey;Gold
Darren Bundock;M;29;180;154,3235834;Australia;Sailing;Sailing Mixed Multihull;Silver
Nataliya Andrivna Burdeina;F;26;165;138,8912251;Ukraine;Archery;Archery Women's Team;Silver
Simon Peter Burgess;M;33;178;154,3235834;Australia;Rowing;Rowing Men's Lightweight Coxless Fours;Silver
Michelle Burgher;F;23;170;136,6866024;Jamaica;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
"Daniel ""Dan"" Burke";M;26;193;205,0299037;Australia;Rowing;Rowing Men's Coxed Eights;Silver
Lauren Chantel Burns (-Muller);F;26;165;108,0265084;Australia;Taekwondo;Taekwondo Women's Flyweight;Gold
Sean Patrick Burroughs;M;20;188;200,6206584;United States;Baseball;Baseball Men's Baseball;Gold
Antje Buschschulte (-Meeuw);F;21;186;165,3466965;Germany;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
