N4m3;S3x;4g3;H31ght;W31ght;T34m;Sp0rt;3v3nt;M3d4l
Serhiy Volodymyrovych Cherniavskiy;M;24;175;147,7097155;Ukraine;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
Chi Shu-Ju;F;17;172;125,6634893;Chinese Taipei;Taekwondo;Taekwondo Women's Flyweight;Bronze
Patrick Chila;M;30;180;160,9374513;France-1;Table Tennis;Table Tennis Men's Doubles;Bronze
Revaz Baadurovich Chomakhidze;M;26;196;222,6668846;Russia;Water Polo;Water Polo Men's Water Polo;Silver
Amy Yuen-Yee Chow (-Ho);F;22;155;97,00339528;United States;Gymnastics;Gymnastics Women's Team All-Around;Bronze
Clement Chukwu;M;27;190;180,7790548;Nigeria;Athletics;Athletics Men's 4 x 400 metres Relay;Gold
Cntia Silva dos Santos;F;25;195;182,9836775;Brazil;Basketball;Basketball Women's Basketball;Bronze
Aleksandar iri;M;22;192;198,4160358;Serbia and Montenegro;Water Polo;Water Polo Men's Water Polo;Bronze
Eldece Clarke-Lewis;F;35;165;127,868112;Bahamas;Athletics;Athletics Women's 4 x 100 metres Relay;Gold
"Cludia Maria ""Cludinha"" das Neves";F;25;170;147,7097155;Brazil;Basketball;Basketball Women's Basketball;Bronze
"Jonathan Davis ""Jonny"" Clay";M;37;180;158,7328286;Great Britain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Bronze
Marion Clignet;F;36;170;132,2773572;France;Cycling;Cycling Women's Individual Pursuit, 3,000 metres;Silver
Beatrice Nicoleta Coad-Claru;F;25;170;141,0958477;Romania;Swimming;Swimming Women's 200 metres Individual Medley;Silver
Beatrice Nicoleta Coad-Claru;F;25;170;141,0958477;Romania;Swimming;Swimming Women's 400 metres Individual Medley;Bronze
Karen Cockburn (-Turgeon);F;19;161;121,2542441;Canada;Trampolining;Trampolining Women's Individual;Bronze
Veronica Cogeanu-Cochela;F;34;175;171,9605644;Romania;Rowing;Rowing Women's Coxed Eights;Gold
LaTasha Lavon Colander-Richardson (-Clark);F;24;168;114,6403762;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Christine Smith Collins;F;31;170;127,868112;United States;Rowing;Rowing Women's Lightweight Double Sculls;Bronze
"Daniel James ""Danny"" Collins";M;29;190;220,462262;Australia;Canoeing;Canoeing Men's Kayak Doubles, 500 metres;Silver
Adam David Commens;M;24;166;163,1420739;Australia;Hockey;Hockey Men's Hockey;Bronze
Javier Alberto Conte;M;25;165;141,0958477;Argentina;Sailing;Sailing Men's Two Person Dinghy;Bronze
Jos Ariel Contreras Camejo;M;28;191;235,8946203;Cuba;Baseball;Baseball Men's Baseball;Silver
Pablo Andrs Contreras Fica;M;22;180;169,7559417;Chile;Football;Football Men's Football;Bronze
Natalie Louise Cook;F;25;181;160,9374513;Australia-1;Beach Volleyball;Beach Volleyball Women's Beach Volleyball;Gold
"Stephanie ""Steph"" Cook";F;28;172;125,6634893;Great Britain;Modern Pentathlon;Modern Pentathlon Women's Individual;Gold
Iztok op;M;28;190;196,2114132;Slovenia;Rowing;Rowing Men's Double Sculls;Gold
Sheila Marie Cornell-Douty;F;38;175;178,5744322;United States;Softball;Softball Women's Softball;Gold
Alex Corretja Verdegay;M;26;180;154,3235834;Spain;Tennis;Tennis Men's Doubles;Bronze
Mirko Corsano;M;26;190;191,8021679;Italy;Volleyball;Volleyball Men's Volleyball;Bronze
"Alberto ""Albert"" Costa Casal";M;25;180;171,9605644;Spain;Tennis;Tennis Men's Doubles;Bronze
Marlenis Costa Blanco;F;27;177;167,5513191;Cuba;Volleyball;Volleyball Women's Volleyball;Gold
John Farrow Cotton;M;29;183;189,5975453;United States;Baseball;Baseball Men's Baseball;Gold
Mihai Claudiu Covaliu;M;22;181;160,9374513;Romania;Fencing;Fencing Men's Sabre, Individual;Gold
Mark Covell;M;32;201;286,6009406;Great Britain;Sailing;Sailing Mixed Two Person Keelboat;Silver
James Edward Cracknell;M;28;192;220,462262;Great Britain;Rowing;Rowing Men's Coxless Fours;Gold
Mark James Crear;M;31;186;174,165187;United States;Athletics;Athletics Men's 110 metres Hurdles;Bronze
Ian Lowell Crocker;M;18;193;189,5975453;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Daniele Crosta;M;30;180;154,3235834;Italy;Fencing;Fencing Men's Foil, Team;Bronze
Szilveszter Csollny;M;30;168;141,0958477;Hungary;Gymnastics;Gymnastics Men's Rings;Gold
Kreimir uljak;M;29;195;205,0299037;Croatia;Rowing;Rowing Men's Coxed Eights;Bronze
Andr Domingos da Silva;M;27;187;171,9605644;Brazil;Athletics;Athletics Men's 4 x 100 metres Relay;Silver
Claudinei Quirino da Silva;M;29;186;194,0067906;Brazil;Athletics;Athletics Men's 4 x 100 metres Relay;Silver
Ali Reza Dabir;M;22;172;145,5050929;Iran;Wrestling;Wrestling Men's Featherweight, Freestyle;Gold
Georgeta Damian-Andrunache;F;24;178;165,3466965;Romania;Rowing;Rowing Women's Coxless Pairs;Gold
Georgeta Damian-Andrunache;F;24;178;165,3466965;Romania;Rowing;Rowing Women's Coxed Eights;Gold
Jamie Annette Dantzscher;F;18;152;108,0265084;United States;Gymnastics;Gymnastics Women's Team All-Around;Bronze
Serhiy Petrovych Danylchenko;M;26;162;119,0496215;Ukraine;Boxing;Boxing Men's Bantamweight;Bronze
Stephen John Davies;M;31;174;169,7559417;Australia;Hockey;Hockey Men's Hockey;Bronze
Heather Davis;F;26;177;169,7559417;Canada;Rowing;Rowing Women's Coxed Eights;Bronze
"Joshua Clark ""Josh"" Davis";M;28;188;185,1883001;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
"Joshua Clark ""Josh"" Davis";M;28;188;185,1883001;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Paul Martin Davis;M;42;193;231,4853751;Norway;Sailing;Sailing Mixed Three Person Keelboat;Bronze
Pauline Elaine Davis-Thompson;F;34;167;125,6634893;Bahamas;Athletics;Athletics Women's 200 metres;Gold
Pauline Elaine Davis-Thompson;F;34;167;125,6634893;Bahamas;Athletics;Athletics Women's 4 x 100 metres Relay;Gold
Dominique Margaux Dawes (-Thompson);F;23;158;119,0496215;United States;Gymnastics;Gymnastics Women's Team All-Around;Bronze
Travis Sentell Dawkins;M;21;182;178,5744322;United States;Baseball;Baseball Men's Baseball;Gold
Luiz Felipe Cortizo Gonalves de Azevedo;M;47;179;160,9374513;Brazil;Equestrianism;Equestrianism Mixed Jumping, Team;Bronze
Inge de Bruijn;F;27;174;121,2542441;Netherlands;Swimming;Swimming Women's 50 metres Freestyle;Gold
Inge de Bruijn;F;27;174;121,2542441;Netherlands;Swimming;Swimming Women's 100 metres Freestyle;Gold
Inge de Bruijn;F;27;174;121,2542441;Netherlands;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
Inge de Bruijn;F;27;174;121,2542441;Netherlands;Swimming;Swimming Women's 100 metres Butterfly;Gold
Juan Mara de la Fuente;M;24;181;163,1420739;Argentina;Sailing;Sailing Men's Two Person Dinghy;Bronze
Vicente Lenlson de Lima;M;23;166;145,5050929;Brazil;Athletics;Athletics Men's 4 x 100 metres Relay;Silver
Teun Floris de Nooijer;M;24;184;174,165187;Netherlands;Hockey;Hockey Men's Hockey;Gold
tienne De Wilde;M;42;172;154,3235834;Belgium;Cycling;Cycling Men's Madison;Silver
Dmitry Vladimirovich Debelka;M;24;190;286,6009406;Belarus;Wrestling;Wrestling Men's Super-Heavyweight, Greco-Roman;Bronze
Rajmond Debevec;M;37;182;158,7328286;Slovenia;Shooting;Shooting Men's Small-Bore Rifle, Three Positions, 50 metres;Gold
Virginie Dedieu;F;21;164;114,6403762;France;Synchronized Swimming;Synchronized Swimming Women's Duet;Bronze
Gervasio Deferr ngel;M;19;166;152,1189608;Spain;Gymnastics;Gymnastics Men's Horse Vault;Gold
Riccardo Dei Rossi;M;31;191;198,4160358;Italy;Rowing;Rowing Men's Coxless Fours;Silver
Julie Bndicte Deiters;F;25;165;132,2773572;Netherlands;Hockey;Hockey Women's Hockey;Bronze
Nuno Miguel Delgado;M;24;180;178,5744322;Portugal;Judo;Judo Men's Half-Middleweight;Bronze
Rita Deli;F;28;180;152,1189608;Hungary;Handball;Handball Women's Handball;Silver
Jeroen Petrus Maria Delme;M;27;173;167,5513191;Netherlands;Hockey;Hockey Men's Hockey;Gold
Yelena Vyacheslavovna Dementyeva (-Afinogenova);F;18;180;141,0958477;Russia;Tennis;Tennis Women's Singles;Silver
Frdric Alain Demontfaucon;M;26;182;198,4160358;France;Judo;Judo Men's Middleweight;Bronze
Simon John Dennis;M;24;200;209,4391489;Great Britain;Rowing;Rowing Men's Coxed Eights;Gold
Emily Ann deRiel;F;25;178;138,8912251;United States;Modern Pentathlon;Modern Pentathlon Women's Individual;Silver
Luca Devoti;M;37;190;209,4391489;Italy;Sailing;Sailing Men's One Person Dinghy;Silver
Ilario Di Bu;M;34;175;198,4160358;Italy;Archery;Archery Men's Team;Silver
Jean-Franois Di Martino;M;33;182;174,165187;France;Fencing;Fencing Men's epee, Team;Silver
Arnaud Laurent Di Pasquale;M;21;185;176,3698096;France;Tennis;Tennis Men's Singles;Bronze
Michael Constantine Diamond (Diamondopoulous-);M;28;174;165,3466965;Australia;Shooting;Shooting Men's Trap;Gold
Kerry Dienelt;F;31;174;143,3004703;Australia;Softball;Softball Women's Softball;Bronze
Mukhtarkhan Koblanbekovich Dildabekov;M;24;190;213,8483941;Kazakhstan;Boxing;Boxing Men's Super-Heavyweight;Silver
Damon Laurance Diletti;M;29;178;189,5975453;Australia;Hockey;Hockey Men's Hockey;Bronze
Pyrros Dimas;M;28;173;182,9836775;Greece;Weightlifting;Weightlifting Men's Light-Heavyweight;Gold
Ding Meiyuan;F;20;168;224,8715072;China;Weightlifting;Weightlifting Women's Super-Heavyweight;Gold
Makan Dioumassi;M;28;196;198,4160358;France;Basketball;Basketball Men's Basketball;Silver
Andreas Dittmer;M;28;183;182,9836775;Germany;Canoeing;Canoeing Men's Canadian Singles, 500 metres;Bronze
Andreas Dittmer;M;28;183;182,9836775;Germany;Canoeing;Canoeing Men's Canadian Singles, 1,000 metres;Gold
Aleksandr Mikhaylovich Dobroskok;M;18;175;143,3004703;Russia;Diving;Diving Men's Synchronized Springboard;Silver
"Alvaro Affonso ""Doda"" de Miranda Neto";M;27;186;189,5975453;Brazil;Equestrianism;Equestrianism Mixed Jumping, Team;Bronze
"Benjamin Philip ""Ben"" Dodwell";M;28;200;216,0530168;Australia;Rowing;Rowing Men's Coxless Fours;Bronze
"Thomas Fitzgerald ""Tom"" Dolan";M;24;201;189,5975453;United States;Swimming;Swimming Men's 200 metres Individual Medley;Silver
"Thomas Fitzgerald ""Tom"" Dolan";M;24;201;189,5975453;United States;Swimming;Swimming Men's 400 metres Individual Medley;Gold
Dong Zhaozhi;M;26;178;165,3466965;China;Fencing;Fencing Men's Foil, Team;Silver
"Wilhelmina Petronella Ardina Maria ""Mijntje"" Donners";F;26;170;130,0727346;Netherlands;Hockey;Hockey Women's Hockey;Bronze
Xavier Elle Dorfman;M;27;182;156,528206;France;Rowing;Rowing Men's Lightweight Coxless Fours;Gold
Oksana Anatolyevna Dorodnova;F;26;178;180,7790548;Russia;Rowing;Rowing Women's Quadruple Sculls;Bronze
Serhiy Mykolaiovych Dotsenko;M;21;174;147,7097155;Ukraine;Boxing;Boxing Men's Welterweight;Silver
Rowley Douglas;M;23;165;127,868112;Great Britain;Rowing;Rowing Men's Coxed Eights;Gold
David Douillet;M;31;196;275,5778275;France;Judo;Judo Men's Heavyweight;Gold
Robert Jeffrey Dover;M;44;178;149,9143382;United States;Equestrianism;Equestrianism Mixed Dressage, Team;Bronze
Pavel Nikolayevich Dovgal;M;24;180;158,7328286;Belarus;Modern Pentathlon;Modern Pentathlon Men's Individual;Bronze
Stacy Rene Dragila (Mikaelsen-, -Waltz);F;29;172;136,6866024;United States;Athletics;Athletics Women's Pole Vault;Gold
Heike Gabriela Drechsler (Daute-);F;35;181;149,9143382;Germany;Athletics;Athletics Women's Long Jump;Gold
Lachlan George Dreher;M;33;175;169,7559417;Australia;Hockey;Hockey Men's Hockey;Bronze
Dmitry Nikolayevich Drevin;M;18;170;130,0727346;Russia;Gymnastics;Gymnastics Men's Team All-Around;Bronze
"Jonathan A. ""Jon"" Drummond";M;32;175;165,3466965;United States;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
Jeroen Dubbeldam;M;27;185;187,3929227;Netherlands;Equestrianism;Equestrianism Mixed Jumping, Individual;Gold
Yobal Dueas Martnez;M;28;190;213,8483941;Cuba;Baseball;Baseball Men's Baseball;Silver
Jason Paul Duff;M;27;184;171,9605644;Australia;Hockey;Hockey Men's Hockey;Bronze
Dmitry Yevgenyevich Dugin;M;32;183;182,9836775;Russia;Water Polo;Water Polo Men's Water Polo;Silver
Maria Magdalena Dumitrache;F;23;187;182,9836775;Romania;Rowing;Rowing Women's Coxed Eights;Gold
Franck Dumoulin;M;28;171;160,9374513;France;Shooting;Shooting Men's Air Pistol, 10 metres;Gold
"Nathaniel James ""Nate"" Dusing";M;21;185;182,9836775;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Phillip Peter Dutton;M;37;168;149,9143382;Australia;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Gold
Kristine Duvholt (-Havns);F;26;166;141,0958477;Norway;Handball;Handball Women's Handball;Bronze
Talant Mushanbetovich Duyshebayev;M;32;183;205,0299037;Spain;Handball;Handball Men's Handball;Bronze
Svetlana Aleksandrovna Dyomina (Yakimova-);F;39;168;127,868112;Russia;Shooting;Shooting Women's Skeet;Silver
Rumyana Dimitrova Dzhadzharova-Neykova;F;27;177;169,7559417;Bulgaria;Rowing;Rowing Women's Single Sculls;Silver
Kamil Aliyevich Dzhamaludinov;M;21;167;125,6634893;Russia;Boxing;Boxing Men's Featherweight;Bronze
Sean Patrick Eadie;M;31;183;216,0530168;Australia;Cycling;Cycling Men's Team Sprint;Bronze
Eskild Balschmidt Ebbesen;M;28;185;165,3466965;Denmark;Rowing;Rowing Men's Lightweight Coxless Fours;Bronze
Thomas Ebert;M;27;184;158,7328286;Denmark;Rowing;Rowing Men's Lightweight Coxless Fours;Bronze
Faissal Ebnoutalib;M;29;184;176,3698096;Germany;Taekwondo;Taekwondo Men's Welterweight;Silver
Peta Louise Edebone;F;31;176;154,3235834;Australia;Softball;Softball Women's Softball;Bronze
Jonas Inge Rikard Edman;M;33;179;160,9374513;Sweden;Shooting;Shooting Men's Small-Bore Rifle, Prone, 50 metres;Gold
Anthony John Edwards;M;27;183;158,7328286;Australia;Rowing;Rowing Men's Lightweight Coxless Fours;Silver
Jonathan David Edwards;M;34;182;160,9374513;Great Britain;Athletics;Athletics Men's Triple Jump;Gold
Teresa Edwards;F;36;175;149,9143382;United States;Basketball;Basketball Women's Basketball;Gold
Torri Mechelle Edwards;F;23;163;125,6634893;United States;Athletics;Athletics Women's 4 x 100 metres Relay;Bronze
Ayano Egami;F;20;170;127,868112;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Marcus Ehning;M;26;168;141,0958477;Germany;Equestrianism;Equestrianism Mixed Jumping, Team;Gold
Marten Eikelboom;M;26;185;165,3466965;Netherlands;Hockey;Hockey Men's Hockey;Gold
Gintaras Einikis;M;30;208;264,5547144;Lithuania;Basketball;Basketball Men's Basketball;Bronze
Hicham El Guerrouj;M;25;176;127,868112;Morocco;Athletics;Athletics Men's 1,500 metres;Silver
Troy Elder;M;22;180;185,1883001;Australia;Hockey;Hockey Men's Hockey;Bronze
Elisngela Almeida de Oliveira;F;21;184;171,9605644;Brazil;Volleyball;Volleyball Women's Volleyball;Bronze
"James Andrew ""Jimmy"" Elmer";M;29;176;116,8449989;Australia;Hockey;Hockey Men's Hockey;Bronze
Jol Dieudonn Martin Epalle Newaka;M;22;174;171,9605644;Cameroon;Football;Football Men's Football;Gold
Zsolt Erdei;M;26;178;165,3466965;Hungary;Boxing;Boxing Men's Middleweight;Bronze
Ann-Cathrin Eriksen;F;29;163;136,6866024;Norway;Handball;Handball Women's Handball;Bronze
Anthony Lee Ervin;M;19;191;176,3698096;United States;Swimming;Swimming Men's 50 metres Freestyle;Gold
Anthony Lee Ervin;M;19;191;176,3698096;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
Gabriel Esparza Prez;M;27;172;127,868112;Spain;Taekwondo;Taekwondo Men's Flyweight;Silver
Gro Espeseth;F;27;172;143,3004703;Norway;Football;Football Women's Football;Gold
Carlos Mauricio Espnola Lorenzo;M;28;175;158,7328286;Argentina;Sailing;Sailing Men's Windsurfer;Silver
Tony Estanguet;M;22;185;165,3466965;France;Canoeing;Canoeing Men's Canadian Singles, Slalom;Gold
Ellen Marie Estes (-Lee);F;21;182;169,7559417;United States;Water Polo;Water Polo Women's Water Polo;Silver
Vctor Manuel Estrada Garibay;M;28;186;176,3698096;Mexico;Taekwondo;Taekwondo Men's Welterweight;Bronze
Samuel Eto'o Fils;M;19;180;158,7328286;Cameroon;Football;Football Men's Football;Gold
Jeffrey Adam Everett;M;23;182;165,3466965;United States;Baseball;Baseball Men's Baseball;Gold
Meike Evers;F;23;185;167,5513191;Germany;Rowing;Rowing Women's Quadruple Sculls;Gold
Ali Ezzine;M;22;175;125,6634893;Morocco;Athletics;Athletics Men's 3,000 metres Steeplechase;Bronze
Aigars Fadejevs;M;24;175;152,1189608;Latvia;Athletics;Athletics Men's 50 kilometres Walk;Silver
"Lorraine Ming ""Lorrie"" Fair";F;22;160;123,4588667;United States;Football;Football Women's Football;Silver
"Suzanne Helen ""Sue"" Fairhurst";F;26;182;149,9143382;Australia;Softball;Softball Women's Softball;Bronze
Simon John Fairweather;M;30;175;156,528206;Australia;Archery;Archery Men's Individual;Gold
"Trisha Nicole ""Trish"" Fallon (-Dykstra)";F;28;190;163,1420739;Australia;Basketball;Basketball Women's Basketball;Silver
gnes Farkas;F;27;182;156,528206;Hungary;Handball;Handball Women's Handball;Silver
Andrea Farkas (-Sgor);F;31;178;145,5050929;Hungary;Handball;Handball Women's Handball;Silver
Renita Maree Farrell-Garard;F;28;167;143,3004703;Australia;Hockey;Hockey Women's Hockey;Gold
Richard Bruce Faulds;M;23;183;182,9836775;Great Britain;Shooting;Shooting Men's Double Trap;Gold
Joy Lynn Fawcett (Biefeld-);F;32;165;130,0727346;United States;Football;Football Women's Football;Silver
Andriy Vasylovych Fedchuk;M;20;184;178,5744322;Ukraine;Boxing;Boxing Men's Light-Heavyweight;Bronze
Victor Alexander Feddersen;M;32;179;156,528206;Denmark;Rowing;Rowing Men's Lightweight Coxless Fours;Bronze
Oleksandr Oleksandrovych Fedenko;M;29;180;152,1189608;Ukraine;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
Irina Mikhaylovna Fedotova;F;25;181;163,1420739;Russia;Rowing;Rowing Women's Quadruple Sculls;Bronze
Alessandro Fei;M;21;204;198,4160358;Italy;Volleyball;Volleyball Men's Volleyball;Bronze
Mariya Aleksandrovna Feklistova;F;24;158;116,8449989;Russia;Shooting;Shooting Women's Small-Bore Rifle, Three Positions, 50 metres;Bronze
"Deborah ""Debbie"" Ferguson-McKenzie";F;24;168;138,8912251;Bahamas;Athletics;Athletics Women's 4 x 100 metres Relay;Gold
Ana Ivis Fernndez Valle;F;27;184;176,3698096;Cuba;Volleyball;Volleyball Women's Volleyball;Gold
Mara Isabel Fernndez Gutirrez;F;28;159;125,6634893;Spain;Judo;Judo Women's Lightweight;Gold
Jaime Francisco Fernandez;M;29;193;227,0761299;Australia;Rowing;Rowing Men's Coxed Eights;Silver
Lisa M. Fernandez (-Lujan);F;29;167;169,7559417;United States;Softball;Softball Women's Softball;Gold
Jean-Nol Ferrari;M;26;187;191,8021679;France;Fencing;Fencing Men's Foil, Team;Gold
Mara Paz Ferrari;F;27;162;134,4819798;Argentina;Hockey;Hockey Women's Hockey;Silver
Pierpaolo Ferrazzi;M;35;180;160,9374513;Italy;Canoeing;Canoeing Men's Kayak Singles, Slalom;Bronze
Marcelo Bastos Ferreira;M;34;181;229,2807525;Brazil;Sailing;Sailing Mixed Two Person Keelboat;Bronze
Michelle Louise Ferris;F;23;171;169,7559417;Australia;Cycling;Cycling Women's 500 metres Time Trial;Silver
Jordi Ferrn Forn;M;22;181;171,9605644;Spain;Football;Football Men's Football;Silver
Jens Fiedler;M;30;185;207,2345263;Germany;Cycling;Cycling Men's Sprint;Bronze
Jens Fiedler;M;30;185;207,2345263;Germany;Cycling;Cycling Men's Keirin;Bronze
Dmitry Rudolfovich Filippov;M;31;187;180,7790548;Russia;Handball;Handball Men's Handball;Gold
Domenico Fioravanti;M;23;179;167,5513191;Italy;Swimming;Swimming Men's 100 metres Breaststroke;Gold
Domenico Fioravanti;M;23;179;167,5513191;Italy;Swimming;Swimming Men's 200 metres Breaststroke;Gold
Birgit Fischer-Schmidt;F;38;172;152,1189608;Germany;Canoeing;Canoeing Women's Kayak Doubles, 500 metres;Gold
Birgit Fischer-Schmidt;F;38;172;152,1189608;Germany;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Gold
Doris Fitschen;F;31;175;141,0958477;Germany;Football;Football Women's Football;Bronze
Laura lodie Flessel-Colovic;F;28;171;121,2542441;France;Fencing;Fencing Women's epee, Individual;Bronze
Vala R. Flosadttir;F;22;183;158,7328286;Iceland;Athletics;Athletics Women's Pole Vault;Bronze
Rajmund Fodor;M;24;190;207,2345263;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Paul Jeffrey Foerster;M;36;172;149,9143382;United States;Sailing;Sailing Men's Two Person Dinghy;Silver
"Hlia ""Fofo"" Rogrio de Souza Pinto";F;30;173;138,8912251;Brazil;Volleyball;Volleyball Women's Volleyball;Bronze
Laurent Foirest;M;26;197;209,4391489;France;Basketball;Basketball Men's Basketball;Silver
Selina Follas;F;24;167;141,0958477;Australia;Softball;Softball Women's Softball;Bronze
Eric V. Fonoimoana;M;31;191;205,0299037;United States-1;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Gold
John Robert Forbes;M;30;181;171,9605644;Australia;Sailing;Sailing Mixed Multihull;Silver
Annemarie Forder;F;22;175;169,7559417;Australia;Shooting;Shooting Women's Air Pistol, 10 metres;Bronze
"Timothy James Carrington ""Tim"" Foster";M;30;190;196,2114132;Great Britain;Rowing;Rowing Men's Coxless Fours;Gold
