Names;Gender;Age;Height (cm);Weight (lbs);Team;Sport;Event;Medal
David Cal Figueroa;M;21;183;189,5975453;Spain;Canoeing;Canoeing Men's Canadian Singles, 1,000 metres;Gold
Rosir Calderon Daz;F;19;191;154,3235834;Cuba;Volleyball;Volleyball Women's Volleyball;Bronze
Mara Luisa Calle Williams;F;35;170;112,4357536;Colombia;Cycling;Cycling Women's Points Race;Bronze
Roberto Cammarelle;M;24;190;223,7691959;Italy;Boxing;Boxing Men's Super-Heavyweight;Bronze
Darren Andrew Campbell;M;30;183;182,9836775;Great Britain;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
Veronica Angella Campbell-Brown;F;22;168;127,868112;Jamaica;Athletics;Athletics Women's 100 metres;Bronze
Veronica Angella Campbell-Brown;F;22;168;127,868112;Jamaica;Athletics;Athletics Women's 200 metres;Gold
Veronica Angella Campbell-Brown;F;22;168;127,868112;Jamaica;Athletics;Athletics Women's 4 x 100 metres Relay;Gold
Flvio Vianna de Ulha Canto;M;29;179;178,5744322;Brazil;Judo;Judo Men's Half-Middleweight;Bronze
Libor Capalini;M;31;174;141,0958477;Czech Republic;Modern Pentathlon;Modern Pentathlon Men's Individual;Bronze
Federico Cappellazzo;M;23;175;154,3235834;Italy;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
Jos Saturnino Cardozo Otaz;M;33;189;182,9836775;Paraguay;Football;Football Men's Football;Silver
Adriana Carmona Gutirrez;F;30;177;165,3466965;Venezuela;Taekwondo;Taekwondo Women's Heavyweight;Bronze
Marissa Carpadios;F;26;164;158,7328286;Australia;Softball;Softball Women's Softball;Silver
Sara Maree Carrigan;F;23;168;132,2773572;Australia;Cycling;Cycling Women's Road Race, Individual;Gold
Nancy Carrillo de la Paz;F;18;190;163,1420739;Cuba;Volleyball;Volleyball Women's Volleyball;Bronze
Hamish Clive Carter;M;33;183;165,3466965;New Zealand;Triathlon;Triathlon Men's Olympic Distance;Gold
Caroline Casaretto;F;26;167;141,0958477;Germany;Hockey;Hockey Women's Hockey;Gold
"Swintayla Marie ""Swin"" Cash";F;24;185;163,1420739;United States;Basketball;Basketball Women's Basketball;Gold
Andrea Cassar;M;20;193;205,0299037;Italy;Fencing;Fencing Men's Foil, Individual;Bronze
Andrea Cassar;M;20;193;205,0299037;Italy;Fencing;Fencing Men's Foil, Team;Gold
Igor Cassina;M;26;180;160,9374513;Italy;Gymnastics;Gymnastics Men's Horizontal Bar;Gold
Carlos Castao Panadero;M;25;178;149,9143382;Spain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Bronze
Tamika Devonne Catchings;F;25;185;169,7559417;United States;Basketball;Basketball Women's Basketball;Gold
"Donovan ""Donnie"" Cech";M;30;198;200,6206584;South Africa;Rowing;Rowing Men's Coxless Pairs;Bronze
Frederich Cepeda Cruz;M;24;177;207,2345263;Cuba;Baseball;Baseball Men's Baseball;Gold
