Names;Gender;Age;Height (cm);Weight (lbs);Team;Sport;Event;Medal
Choi Im-Jeong;F;23;182;165,3466965;South Korea;Handball;Handball Women's Handball;Silver
Choi Min-Ho;M;23;163;143,3004703;South Korea;Judo;Judo Men's Extra-Lightweight;Bronze
Velichko Cholakov;M;22;205;231,4853751;Bulgaria;Weightlifting;Weightlifting Men's Super-Heavyweight;Bronze
Revaz Baadurovich Chomakhidze;M;30;196;222,6668846;Russia;Water Polo;Water Polo Men's Water Polo;Bronze
Chu Mu-Yen;M;22;175;127,868112;Chinese Taipei;Taekwondo;Taekwondo Men's Flyweight;Gold
Olga Viktorovna Chukanova (-Khrzhanovskaya);F;24;180;167,5513191;Russia;Volleyball;Volleyball Women's Volleyball;Silver
Maria Cioncan;F;27;172;125,6634893;Romania;Athletics;Athletics Women's 1,500 metres;Bronze
"Peter M. ""Pete"" Cipollone";M;33;154;121,2542441;United States;Rowing;Rowing Men's Coxed Eights;Gold
Aleksandar iri;M;26;192;198,4160358;Serbia and Montenegro;Water Polo;Water Polo Men's Water Polo;Silver
Alberto Cisolla;M;26;197;189,5975453;Italy;Volleyball;Volleyball Men's Volleyball;Silver
Bryan Ezra Tsumoru Clay;M;24;180;182,9836775;United States;Athletics;Athletics Men's Decathlon;Silver
Karen Cockburn (-Turgeon);F;23;161;121,2542441;Canada;Trampolining;Trampolining Women's Individual;Silver
Fabricio Coloccini;M;22;182;174,165187;Argentina;Football;Football Men's Football;Gold
Lars Conrad;M;28;187;176,3698096;Germany;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Silver
Francesca Cristiana Conti;F;32;179;156,528206;Italy;Water Polo;Water Polo Women's Water Polo;Gold
"Edward ""Ed"" Coode";M;29;193;211,6437715;Great Britain;Rowing;Rowing Men's Coxless Fours;Gold
Allison Petra Cook-Tranquilli;F;31;178;152,1189608;Australia;Basketball;Basketball Women's Basketball;Silver
Iztok op;M;32;190;196,2114132;Slovenia;Rowing;Rowing Men's Double Sculls;Silver
Haley Cope (-Clark);F;25;177;138,8912251;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
"Maritza ""Ritz"" Correia (-McClendon)";F;22;175;134,4819798;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
Natalie Anne Coughlin (-Hall);F;21;173;138,8912251;United States;Swimming;Swimming Women's 100 metres Freestyle;Bronze
Natalie Anne Coughlin (-Hall);F;21;173;138,8912251;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
Natalie Anne Coughlin (-Hall);F;21;173;138,8912251;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Gold
Natalie Anne Coughlin (-Hall);F;21;173;138,8912251;United States;Swimming;Swimming Women's 100 metres Backstroke;Gold
Natalie Anne Coughlin (-Hall);F;21;173;138,8912251;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Didier Courrges;M;44;171;143,3004703;France;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Gold
Kirsty Leigh Coventry (-Seward);F;20;176;141,0958477;Zimbabwe;Swimming;Swimming Women's 100 metres Backstroke;Silver
Kirsty Leigh Coventry (-Seward);F;20;176;141,0958477;Zimbabwe;Swimming;Swimming Women's 200 metres Backstroke;Gold
Kirsty Leigh Coventry (-Seward);F;20;176;141,0958477;Zimbabwe;Swimming;Swimming Women's 200 metres Individual Medley;Bronze
Alison Cox;F;25;182;182,9836775;United States;Rowing;Rowing Women's Coxed Eights;Silver
Paolo Alfredo Cozzi;M;24;200;189,5975453;Italy;Volleyball;Volleyball Men's Volleyball;Silver
James Edward Cracknell;M;32;192;220,462262;Great Britain;Rowing;Rowing Men's Coxless Fours;Gold
Shawn Crawford;M;26;181;189,5975453;United States;Athletics;Athletics Men's 200 metres;Gold
Shawn Crawford;M;26;181;189,5975453;United States;Athletics;Athletics Men's 4 x 100 metres Relay;Silver
Yunaika Crawford Rogert;F;21;164;171,9605644;Cuba;Athletics;Athletics Women's Hammer Throw;Bronze
Ernesto Rubn Cristaldo Santa Cruz;M;20;180;165,3466965;Paraguay;Football;Football Men's Football;Silver
Cristiane Rozeira de Souza Silva;F;19;176;152,1189608;Brazil;Football;Football Women's Football;Silver
Ian Lowell Crocker;M;21;193;189,5975453;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
Ian Lowell Crocker;M;21;193;189,5975453;United States;Swimming;Swimming Men's 100 metres Butterfly;Silver
Ian Lowell Crocker;M;21;193;189,5975453;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Philipp Crone;M;27;173;180,7790548;Germany;Hockey;Hockey Men's Hockey;Bronze
"Tamara ""Tammy"" Crow (-DeClercq)";F;27;160;105,8218858;United States;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Lszl Cseh, Jr.;M;18;188;182,9836775;Hungary;Swimming;Swimming Men's 400 metres Individual Medley;Bronze
"Timothy John ""Tim"" Cuddihy";M;17;184;185,1883001;Australia;Archery;Archery Men's Individual;Bronze
Yumileidi Cumb Jay;F;29;183;229,2807525;Cuba;Athletics;Athletics Women's Shot Put;Gold
"Stephen Phillip ""Steve"" Cummings";M;23;190;165,3466965;Great Britain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
Ben Cureton;M;23;184;154,3235834;Australia;Rowing;Rowing Men's Lightweight Coxless Fours;Silver
Andrs Nicols D'Alessandro;M;23;170;154,3235834;Argentina;Football;Football Men's Football;Gold
Gunn Rita Dahle-Flesj;F;31;173;141,0958477;Norway;Cycling;Cycling Women's Mountainbike, Cross-Country;Gold
Petra Dallmann;F;25;184;152,1189608;Germany;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Georgeta Damian-Andrunache;F;28;178;165,3466965;Romania;Rowing;Rowing Women's Coxless Pairs;Gold
Georgeta Damian-Andrunache;F;28;178;165,3466965;Romania;Rowing;Rowing Women's Coxed Eights;Gold
Daniela Alves Lima;F;20;171;145,5050929;Brazil;Football;Football Women's Football;Silver
Sarah Delphine lonore Daninthe;F;24;172;152,1189608;France;Fencing;Fencing Women's epee, Team;Bronze
Dante Guimares Santos do Amaral;M;23;201;189,5975453;Brazil;Volleyball;Volleyball Men's Volleyball;Gold
Line Daugaard (-Widt Fruensgaard);F;26;174;143,3004703;Denmark;Handball;Handball Women's Handball;Gold
Caryn Davies;F;22;193;180,7790548;United States;Rowing;Rowing Women's Coxed Eights;Silver
"David ""Dave"" Davies";M;19;190;185,1883001;Great Britain;Swimming;Swimming Men's 1,500 metres Freestyle;Bronze
Nadia Davy;F;23;168;119,0496215;Jamaica;Athletics;Athletics Women's 4 x 400 metres Relay;Bronze
Anastasiya Semyonovna Davydova;F;21;170;119,0496215;Russia;Synchronized Swimming;Synchronized Swimming Women's Duet;Gold
Anastasiya Semyonovna Davydova;F;21;170;119,0496215;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Peter Douglas Dawson;M;22;182;163,1420739;Australia;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Gold
Chantal de Bruijn;F;28;174;156,528206;Netherlands;Hockey;Hockey Women's Hockey;Silver
Inge de Bruijn;F;30;174;121,2542441;Netherlands;Swimming;Swimming Women's 50 metres Freestyle;Gold
Inge de Bruijn;F;30;174;121,2542441;Netherlands;Swimming;Swimming Women's 100 metres Freestyle;Silver
Inge de Bruijn;F;30;174;121,2542441;Netherlands;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze
Inge de Bruijn;F;30;174;121,2542441;Netherlands;Swimming;Swimming Women's 100 metres Butterfly;Bronze
Annemiek Nicolien de Haan;F;23;187;154,3235834;Netherlands;Rowing;Rowing Women's Coxed Eights;Bronze
Vanderlei Cordeiro de Lima;M;35;168;119,0496215;Brazil;Athletics;Athletics Men's Marathon;Bronze
Teun Floris de Nooijer;M;28;184;174,165187;Netherlands;Hockey;Hockey Men's Hockey;Silver
Lisanne Freya de Roever;F;25;172;127,868112;Netherlands;Hockey;Hockey Women's Hockey;Silver
Daniele De Rossi;M;21;183;167,5513191;Italy;Football;Football Men's Football;Bronze
Liam Andrew De Young;M;22;179;165,3466965;Australia;Hockey;Hockey Men's Hockey;Gold
Nathan Douglas Deakes;M;26;183;145,5050929;Australia;Athletics;Athletics Men's 20 kilometres Walk;Bronze
Matt Deakin;M;24;193;198,4160358;United States;Rowing;Rowing Men's Coxed Eights;Gold
Meseret Defar Tola;F;20;159;92,59415004;Ethiopia;Athletics;Athletics Women's 5,000 metres;Gold
Gervasio Deferr ngel;M;23;166;152,1189608;Spain;Gymnastics;Gymnastics Men's Horse Vault;Gold
Inge Dekker;F;18;183;147,7097155;Netherlands;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze
Hurnet Nicoret Dekkers;F;30;193;182,9836775;Netherlands;Rowing;Rowing Women's Coxed Eights;Bronze
Simone Del Nero;M;23;183;169,7559417;Italy;Football;Football Men's Football;Bronze
Carlos Francisco Delfino;M;21;196;209,4391489;Argentina;Basketball;Basketball Men's Basketball;Gold
Csar Fabin Delgado Godoy;M;22;174;152,1189608;Argentina;Football;Football Men's Football;Gold
Jeroen Petrus Maria Delme;M;31;173;167,5513191;Netherlands;Hockey;Hockey Men's Hockey;Silver
"Deirdre ""Dede"" Demet-Barry";F;31;175;134,4819798;United States;Cycling;Cycling Women's Individual Time Trial;Silver
"Nicholas Charles ""Nick"" Dempsey";M;23;180;156,528206;Great Britain;Sailing;Sailing Men's Windsurfer;Bronze
Dario Dentale;M;21;203;209,4391489;Italy;Rowing;Rowing Men's Coxless Fours;Bronze
"Geert Jan Marie ""Geert-Jan"" Derikx";M;23;192;202,825281;Netherlands;Hockey;Hockey Men's Hockey;Silver
Rob Gerard Marie Derikx;M;21;178;187,3929227;Netherlands;Hockey;Hockey Men's Hockey;Silver
"Gerardus Johannes Antonius ""Geert-Jan"" Derksen";M;29;199;220,462262;Netherlands;Rowing;Rowing Men's Coxed Eights;Silver
Alexandre Despatie;M;19;173;167,5513191;Canada;Diving;Diving Men's Springboard;Silver
Jos Ricardo Devaca Snchez;M;21;180;169,7559417;Paraguay;Football;Football Men's Football;Silver
"Khrysopigi ""Pigi"" Devetzi";F;28;170;130,0727346;Greece;Athletics;Athletics Women's Triple Jump;Silver
Marlon Ronald Devonish;M;28;183;167,5513191;Great Britain;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
Ramon di Clemente;M;29;192;196,2114132;South Africa;Rowing;Rowing Men's Coxless Pairs;Bronze
Marina Emilse Di Giacomo;F;28;163;130,0727346;Argentina;Hockey;Hockey Women's Hockey;Bronze
Tania Di Mario;F;25;168;136,6866024;Italy;Water Polo;Water Polo Women's Water Polo;Gold
Osvaldo Javier Daz Gimnez;M;22;174;160,9374513;Paraguay;Football;Football Men's Football;Silver
Ejegayehu Dibaba Keneni;F;22;162;103,6172631;Ethiopia;Athletics;Athletics Women's 10,000 metres;Silver
Tirunesh Dibaba Keneni;F;19;166;110,231131;Ethiopia;Athletics;Athletics Women's 5,000 metres;Bronze
Pyrros Dimas;M;32;173;182,9836775;Greece;Weightlifting;Weightlifting Men's Light-Heavyweight;Bronze
Stanislav Anatolyevich Dineykin;M;30;215;222,6668846;Russia;Volleyball;Volleyball Men's Volleyball;Bronze
"Margaret ""Margie"" Dingeldein";F;24;167;127,868112;United States;Water Polo;Water Polo Women's Water Polo;Bronze
Megan Dirkmaat;F;28;185;178,5744322;United States;Rowing;Rowing Women's Coxed Eights;Silver
Andre Dirrell;M;21;185;163,1420739;United States;Boxing;Boxing Men's Middleweight;Bronze
Andreas Dittmer;M;32;183;182,9836775;Germany;Canoeing;Canoeing Men's Canadian Singles, 500 metres;Gold
Andreas Dittmer;M;32;183;182,9836775;Germany;Canoeing;Canoeing Men's Canadian Singles, 1,000 metres;Silver
Fabrizia D'Ottavio;F;19;173;114,6403762;Italy;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Silver
Erin Patricia Dobratz (-McGregor);F;21;167;138,8912251;United States;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Milen Atanasov Dobrev;M;24;177;207,2345263;Bulgaria;Weightlifting;Weightlifting Men's Middle-Heavyweight;Gold
Bevan John Docherty;M;27;185;156,528206;New Zealand;Triathlon;Triathlon Men's Olympic Distance;Silver
Anna Aleksandre Dogonadze-Lilkendey;F;31;158;114,6403762;Germany;Trampolining;Trampolining Women's Individual;Gold
Aleksandr Dokturishvili;M;24;169;163,1420739;Uzbekistan;Wrestling;Wrestling Men's Middleweight, Greco-Roman;Gold
Amanda Doman;F;26;178;154,3235834;Australia;Softball;Softball Women's Softball;Silver
Davor Dominikovi;M;26;203;220,462262;Croatia;Handball;Handball Men's Handball;Gold
Marco Donadel;M;21;178;158,7328286;Italy;Football;Football Men's Football;Bronze
Dong Zhaozhi;M;30;178;165,3466965;China;Fencing;Fencing Men's Foil, Team;Silver
Tea Gayozovna Donguzashvili;F;28;175;241,4061769;Russia;Judo;Judo Women's Heavyweight;Bronze
"Wilhelmina Petronella Ardina Maria ""Mijntje"" Donners";F;30;170;130,0727346;Netherlands;Hockey;Hockey Women's Hockey;Silver
Natasa Douchev-Janics;F;22;174;149,9143382;Hungary;Canoeing;Canoeing Women's Kayak Singles, 500 metres;Gold
Natasa Douchev-Janics;F;22;174;149,9143382;Hungary;Canoeing;Canoeing Women's Kayak Doubles, 500 metres;Gold
Robert Jeffrey Dover;M;48;178;149,9143382;United States;Equestrianism;Equestrianism Mixed Dressage, Team;Bronze
Duje Draganja;M;21;197;189,5975453;Croatia;Swimming;Swimming Men's 50 metres Freestyle;Silver
Marian Drgulescu;M;23;163;141,0958477;Romania;Gymnastics;Gymnastics Men's Team All-Around;Bronze
Marian Drgulescu;M;23;163;141,0958477;Romania;Gymnastics;Gymnastics Men's Floor Exercise;Silver
Marian Drgulescu;M;23;163;141,0958477;Romania;Gymnastics;Gymnastics Men's Horse Vault;Bronze
Mark Dragunski;M;33;214;277,7824501;Germany;Handball;Handball Men's Handball;Silver
"Christopher James ""Chris"" Draper";M;26;176;152,1189608;Great Britain;Sailing;Sailing Mixed Skiff;Bronze
Steffen Driesen;M;22;194;198,4160358;Germany;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Silver
Deena Michelle Drossin-Kastor;F;31;163;103,6172631;United States;Athletics;Athletics Women's Marathon;Bronze
Du Li;F;22;170;121,2542441;China;Shooting;Shooting Women's Air Rifle, 10 metres;Gold
Hugues Duboscq;M;22;191;185,1883001;France;Swimming;Swimming Men's 100 metres Breaststroke;Bronze
Eike Duckwitz;M;24;180;158,7328286;Germany;Hockey;Hockey Men's Hockey;Bronze
Frdric Dufour;M;28;178;156,528206;France;Rowing;Rowing Men's Lightweight Double Sculls;Silver
"Timothy Theodore ""Tim"" Duncan";M;28;213;229,2807525;United States;Basketball;Basketball Men's Basketball;Bronze
Imke Duplitzer;F;29;186;174,165187;Germany;Fencing;Fencing Women's epee, Team;Silver
"Nathaniel James ""Nate"" Dusing";M;25;185;182,9836775;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
Jamie Raymond Dwyer;M;25;172;149,9143382;Australia;Hockey;Hockey Men's Hockey;Gold
"Patrick ""Pat"" Dwyer";M;26;186;178,5744322;Australia;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
Aleksey Vladimirovich Dyachenko;M;25;180;171,9605644;Russia;Fencing;Fencing Men's Sabre, Team;Bronze
Rumyana Dimitrova Dzhadzharova-Neykova;F;31;177;169,7559417;Bulgaria;Rowing;Rowing Women's Single Sculls;Bronze
Mirza Domba;M;27;190;189,5975453;Croatia;Handball;Handball Men's Handball;Gold
Eskild Balschmidt Ebbesen;M;32;185;165,3466965;Denmark;Rowing;Rowing Men's Lightweight Coxless Fours;Gold
Thomas Ebert;M;31;184;158,7328286;Denmark;Rowing;Rowing Men's Lightweight Coxless Fours;Gold
Peta Louise Edebone;F;35;176;154,3235834;Australia;Softball;Softball Women's Softball;Silver
Anthony John Edwards;M;31;183;158,7328286;Australia;Rowing;Rowing Men's Lightweight Coxless Fours;Silver
Aaron Egbele;M;25;181;174,165187;Nigeria;Athletics;Athletics Men's 4 x 100 metres Relay;Bronze
Gerritjan Eggenkamp;M;28;196;205,0299037;Netherlands;Rowing;Rowing Men's Coxed Eights;Silver
Nathan John Eglington;M;23;182;182,9836775;Australia;Hockey;Hockey Men's Hockey;Gold
Marten Eikelboom;M;30;185;165,3466965;Netherlands;Hockey;Hockey Men's Hockey;Silver
Christoph Eimer;M;27;183;176,3698096;Germany;Hockey;Hockey Men's Hockey;Bronze
Hicham El Guerrouj;M;29;176;127,868112;Morocco;Athletics;Athletics Men's 1,500 metres;Gold
Hicham El Guerrouj;M;29;176;127,868112;Morocco;Athletics;Athletics Men's 5,000 metres;Gold
Mohamed El-Sayed;M;31;185;200,6206584;Egypt;Boxing;Boxing Men's Heavyweight;Bronze
Elaine Estrela Moura;F;21;167;134,4819798;Brazil;Football;Football Women's Football;Silver
Troy Elder;M;26;180;185,1883001;Australia;Hockey;Hockey Men's Hockey;Gold
Georgia Ellinaki;F;30;174;141,0958477;Greece;Water Polo;Water Polo Women's Water Polo;Silver
Emanuel Fernando Scheffler Rego;M;31;190;176,3698096;Brazil-1;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Gold
Uchenna Emedolu;M;27;183;191,8021679;Nigeria;Athletics;Athletics Men's 4 x 100 metres Relay;Bronze
Bjrn Emmerling;M;28;182;178,5744322;Germany;Hockey;Hockey Men's Hockey;Bronze
"Matthew D. ""Matt"" Emmons";M;23;175;185,1883001;United States;Shooting;Shooting Men's Small-Bore Rifle, Prone, 50 metres;Gold
Gail Elizabeth Emms;F;27;162;134,4819798;Great Britain-1;Badminton;Badminton Mixed Doubles;Silver
Julio Csar Enciso Ferreira;M;30;178;176,3698096;Paraguay;Football;Football Men's Football;Silver
Hian Eng;M;27;175;149,9143382;Indonesia-1;Badminton;Badminton Men's Doubles;Bronze
Michel Enrquez Tamayo;M;25;175;176,3698096;Cuba;Baseball;Baseball Men's Baseball;Gold
Alexandra Georgiana Maria Eremia;F;17;149;83,77565956;Romania;Gymnastics;Gymnastics Women's Team All-Around;Gold
Alexandra Georgiana Maria Eremia;F;17;149;83,77565956;Romania;Gymnastics;Gymnastics Women's Balance Beam;Bronze
Jens Dyrlv Eriksen;M;34;191;182,9836775;Denmark-2;Badminton;Badminton Mixed Doubles;Bronze
Ulf Peter Tobias Eriksson;M;44;176;145,5050929;Sweden;Equestrianism;Equestrianism Mixed Jumping, Team;Silver
Nadine Ernsting-Krienke;F;30;172;147,7097155;Germany;Hockey;Hockey Women's Hockey;Gold
eref Erolu;M;28;167;145,5050929;Turkey;Wrestling;Wrestling Men's Welterweight, Greco-Roman;Silver
"Srgio ""Escadinha"" Dutra dos Santos";M;28;184;171,9605644;Brazil;Volleyball;Volleyball Men's Volleyball;Gold
Sergi Escobar Roure;M;29;179;163,1420739;Spain;Cycling;Cycling Men's Individual Pursuit, 4,000 metres;Bronze
Sergi Escobar Roure;M;29;179;163,1420739;Spain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Bronze
Jos Antonio Escuredo Raimndez;M;34;179;198,4160358;Spain;Cycling;Cycling Men's Keirin;Silver
Carlos Mauricio Espnola Lorenzo;M;32;175;158,7328286;Argentina;Sailing;Sailing Mixed Multihull;Bronze
Celso Esquivel Gonzlez;M;23;182;158,7328286;Paraguay;Football;Football Men's Football;Silver
Tony Estanguet;M;26;185;165,3466965;France;Canoeing;Canoeing Men's Canadian Singles, Slalom;Gold
Ellen Marie Estes (-Lee);F;25;182;169,7559417;United States;Water Polo;Water Polo Women's Water Polo;Bronze
Floris Maarten Alphons Maria Evers;M;21;189;182,9836775;Netherlands;Hockey;Hockey Men's Hockey;Silver
Meike Evers;F;27;185;167,5513191;Germany;Rowing;Rowing Women's Quadruple Sculls;Gold
Caroline Frances Evers-Swindell (-Meyer);F;25;178;167,5513191;New Zealand;Rowing;Rowing Women's Double Sculls;Gold
Georgina Emma Buchanan Evers-Swindell (-Earl);F;25;178;171,9605644;New Zealand;Rowing;Rowing Women's Double Sculls;Gold
Marinella Falca;F;18;167;110,231131;Italy;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Silver
Dana Faletic;F;27;178;163,1420739;Australia;Rowing;Rowing Women's Quadruple Sculls;Bronze
"Trisha Nicole ""Trish"" Fallon (-Dykstra)";F;32;190;163,1420739;Australia;Basketball;Basketball Women's Basketball;Silver
Olusoji Adetokumbo Fasuba;M;20;175;171,9605644;Nigeria;Athletics;Athletics Men's 4 x 100 metres Relay;Bronze
Joy Lynn Fawcett (Biefeld-);F;36;165;130,0727346;United States;Football;Football Women's Football;Gold
Aleksandr Sergeyevich Fedorov;M;23;198;202,825281;Russia;Water Polo;Water Polo Men's Water Polo;Bronze
Sergey Anatolyevich Fedorovtsev;M;24;195;198,4160358;Russia;Rowing;Rowing Men's Quadruple Sculls;Gold
Alessandro Fei;M;25;204;198,4160358;Italy;Volleyball;Volleyball Men's Volleyball;Silver
Allyson Michelle Felix;F;18;168;123,4588667;United States;Athletics;Athletics Women's 200 metres;Silver
Sylviane Flix;F;26;174;127,868112;France;Athletics;Athletics Women's 4 x 100 metres Relay;Bronze
Feng Kun;F;25;183;165,3466965;China;Volleyball;Volleyball Women's Volleyball;Gold
Svetlana Yevgenyevna Feofanova;F;24;164;114,6403762;Russia;Athletics;Athletics Women's Pole Vault;Silver
"Deborah ""Debbie"" Ferguson-McKenzie";F;28;168;138,8912251;Bahamas;Athletics;Athletics Women's 200 metres;Bronze
Ana Ivis Fernndez Valle;F;31;184;176,3698096;Cuba;Volleyball;Volleyball Women's Volleyball;Bronze
Francisco Javier Fernndez Pelez;M;27;175;132,2773572;Spain;Athletics;Athletics Men's 20 kilometres Walk;Silver
Gabriel Diego Fernndez;M;27;204;244,7131108;Argentina;Basketball;Basketball Men's Basketball;Gold
Lisa M. Fernandez (-Lujan);F;33;167;169,7559417;United States;Softball;Softball Women's Softball;Gold
Xabier Fernndez Gaztaaga;M;27;181;178,5744322;Spain;Sailing;Sailing Mixed Skiff;Gold
Lyndon Ferns;M;20;187;191,8021679;South Africa;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
