Name;Sex;Age_year;Height_cm;Weight_lbs;Country;Sport;Event;Medal
Kristina Brring-Sprehe;F;29;168;119,0496215;Germany;Equestrianism;Equestrianism Mixed Dressage, Team;Gold
Gayle Broughton;F;20;174;154,3235834;New Zealand;Rugby Sevens;Rugby Sevens Women's Rugby Sevens;Silver
Alexander Brouwer;M;26;198;194,0067906;Netherlands-1;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Bronze
Aaron Brown;M;24;198;174,165187;Canada;Athletics;Athletics Men's 4 x 100 metres Relay;Bronze
"Christopher Deon ""Chris"" Brown";M;37;178;165,3466965;Bahamas;Athletics;Athletics Men's 4 x 400 metres Relay;Bronze
Kyle Gie Brown;M;29;182;202,825281;South Africa;Rugby Sevens;Rugby Sevens Men's Rugby Sevens;Bronze
Laura Brown;F;29;167;134,4819798;Canada;Cycling;Cycling Women's Team Pursuit;Bronze
Alistair Edward Brownlee;M;28;184;154,3235834;Great Britain;Triathlon;Triathlon Men's Olympic Distance;Gold
"Jonathan Callum ""Jonny"" Brownlee";M;26;181;154,3235834;Great Britain;Triathlon;Triathlon Men's Olympic Distance;Silver
Kristoffer Brun;M;28;175;154,3235834;Norway;Rowing;Rowing Men's Lightweight Double Sculls;Bronze
Manuel Brunet;M;30;179;174,165187;Argentina;Hockey;Hockey Men's Hockey;Gold
Rachele Bruni;F;25;170;130,0727346;Italy;Swimming;Swimming Women's 10 kilometres Open Water;Silver
"Bruno ""Bruninho"" Mossa de Rezende";M;30;190;167,5513191;Brazil;Volleyball;Volleyball Men's Volleyball;Gold
Joshua Buatsi;M;23;185;178,5744322;Great Britain;Boxing;Boxing Men's Light-Heavyweight;Bronze
Kadeisha Buchanan;F;20;170;143,3004703;Canada;Football;Football Women's Football;Bronze
Matthijs Bchli;M;23;188;198,4160358;Netherlands;Cycling;Cycling Men's Keirin;Silver
Luka Buki;M;22;195;198,4160358;Croatia;Water Polo;Water Polo Men's Water Polo;Silver
Yekaterina Borisovna Bukina;F;29;174;165,3466965;Russia;Wrestling;Wrestling Women's Heavyweight, Freestyle;Bronze
Chlo Bulleux;F;24;172;143,3004703;France;Handball;Handball Women's Handball;Silver
Phil Burgess;M;28;180;202,825281;Great Britain;Rugby Sevens;Rugby Sevens Men's Rugby Sevens;Silver
Damir Buri;M;35;205;253,5316013;Croatia;Water Polo;Water Polo Men's Water Polo;Silver
Steven James Burke;M;28;183;171,9605644;Great Britain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Gold
Peter Burling;M;25;186;180,7790548;New Zealand;Sailing;Sailing Men's Skiff;Gold
Christopher Burton;M;34;180;154,3235834;Australia;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Bronze
Tom Burton;M;26;180;178,5744322;Australia;Sailing;Sailing Men's One Person Dinghy;Gold
Bianka Bua;F;22;187;163,1420739;Serbia;Volleyball;Volleyball Women's Volleyball;Silver
Andro Bulje;M;30;200;253,5316013;Croatia;Water Polo;Water Polo Men's Water Polo;Silver
Simone Buti;M;32;206;220,462262;Italy;Volleyball;Volleyball Men's Volleyball;Silver
Jimmy Butler III;M;26;201;218,2576394;United States;Basketball;Basketball Men's Basketball;Gold
Linus Butt;M;29;186;182,9836775;Germany;Hockey;Hockey Men's Hockey;Bronze
Dajana Butulija;F;30;175;143,3004703;Serbia;Basketball;Basketball Women's Basketball;Bronze
Denia Caballero Ponce;F;26;175;154,3235834;Cuba;Athletics;Athletics Women's Discus Throw;Bronze
Jrmy Cadot;M;29;185;171,9605644;France;Fencing;Fencing Men's Foil, Team;Silver
Tania Cagnotto (-Parolin);F;31;160;119,0496215;Italy;Diving;Diving Women's Springboard;Bronze
Tania Cagnotto (-Parolin);F;31;160;119,0496215;Italy;Diving;Diving Women's Synchronized Springboard;Silver
Cai Zelin;M;25;175;121,2542441;China;Athletics;Athletics Men's 20 kilometres Walk;Silver
Chiara Cainero;F;38;171;178,5744322;Italy;Shooting;Shooting Women's Skeet;Silver
Jos Manuel Caldern Borrallo;M;34;191;198,4160358;Spain;Basketball;Basketball Men's Basketball;Bronze
Hilary Caldwell;F;25;173;134,4819798;Canada;Swimming;Swimming Women's 200 metres Backstroke;Bronze
Facundo Callioni;M;30;183;169,7559417;Argentina;Hockey;Hockey Men's Hockey;Gold
